Portfolio,alpha,t_alpha,p_alpha,R2,betaMkt-RF,betaSMB,betaHML
SMALL LoBM,-0.3742812290640103,-2.9633247886833707,0.003,0.9383108330798293,1.031629011512964,1.4116906712132222,-0.28511967087262774
ME1 BM2,-0.09811958741752395,-1.481013527082434,0.1386,0.9561714954331432,0.9643510085535716,1.2736871786376844,0.08484115484846404
ME1 BM3,-0.05835103361149973,-0.8284044043929631,0.4074,0.9634067018056148,0.9427773349608525,1.1526979906744441,0.2778852082334457
ME1 BM4,0.058400217689382805,0.9443236686791883,0.345,0.9665338431324768,0.8973345987068977,1.1015063905664708,0.39553355904959303
SMALL HiBM,0.05262261833602779,0.828680575515688,0.4073,0.9638331941974975,0.9505483136604086,1.1866586141137478,0.6148882928300702
ME2 BM1,-0.1421140872408451,-1.8041357069528954,0.0712,0.9569681090814317,1.1007579000285266,0.9947266190735342,-0.4667024537145032
ME2 BM2,-0.0336726539667622,-0.4702393007458925,0.6382,0.961140248569528,1.0211780266477617,0.93368785164511,0.034663150726962716
ME2 BM3,0.13209977278216145,1.8236391734828483,0.0682,0.9572615639471596,0.9639201924263215,0.8466997855141591,0.23783715355271765
ME2 BM4,0.13962502682321054,2.3801809864152292,0.0173,0.9565243480477877,0.9647822410322922,0.7008286133954534,0.47053979260080375
ME2 BM5,0.0591871774758221,0.7597870529770496,0.4474,0.9591727168968092,1.0701858519310188,0.8484696074369148,0.684538851204426
ME3 BM1,-0.03234127788511498,-0.5131132661193293,0.6079,0.9591151068043282,1.099454483192609,0.6918232687538215,-0.4298591221101131
ME3 BM2,0.04960846959098088,0.7226967703061823,0.4699,0.948081067095129,1.0162568945059294,0.6375246646476411,0.035793364322241276
ME3 BM3,0.0172367727218424,0.2865700023981,0.7744,0.936138054622034,0.9724844898386183,0.5410191789311526,0.31239358943514617
ME3 BM4,0.1196723019721964,1.7095588899421181,0.0873,0.9411520343424935,0.9737775143881918,0.4401576599289864,0.5069308744090325
ME3 BM5,0.04977082295031892,0.5878391190615708,0.5566,0.9286527598026342,1.0637148269240035,0.6459770215443704,0.6989155966590864
ME4 BM1,0.11952043235861501,1.3457006620829672,0.1784,0.9465077841613522,1.0580181805749793,0.29481959602953184,-0.4472679177857894
ME4 BM2,-0.1530257938771051,-1.626421299025913,0.1039,0.9235183575660847,1.0636304950579503,0.277298061159187,0.02794734036181889
ME4 BM3,0.005487546757673496,0.06959156796663318,0.9445,0.9166842572921061,1.0502871588605787,0.23082228872501498,0.3162365430177328
ME4 BM4,0.09628039156103543,1.1471172863529373,0.2513,0.9094649017539158,1.0310459651443802,0.23904534268059374,0.5567065479238062
ME4 BM5,0.04138329822783037,0.5127116146842828,0.6082,0.8986123131537422,1.148984870061172,0.3531647053156662,0.7408643699474128
BIG LoBM,0.19758948804618545,2.640062903079109,0.0083,0.9392609174855784,0.9609458405690436,-0.19973793263077172,-0.4400017651041534
ME5 BM2,-0.02657765423052024,-0.33314549042610214,0.739,0.9235606886077209,1.0240698387376594,-0.19001400691020776,-0.010424674099838173
ME5 BM3,-0.04759410915869487,-0.5582917005505363,0.5766,0.863951792986774,0.9717363878781644,-0.2611450811216349,0.19874345459520898
ME5 BM4,-0.06086356576962894,-1.0128948947043444,0.3111,0.9030115190917778,1.0001446684890818,-0.20027348840225434,0.5586435391960011
BIG HiBM,-0.17169253165379927,-1.922833481018016,0.0545,0.8358693682504488,1.0361394399342083,-0.050803975691033246,0.7627662155476459
